Error: That port is already in use.
[18/Nov/2013 11:30:26] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 28
[18/Nov/2013 11:30:27] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 28
[18/Nov/2013 11:30:28] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 28
[18/Nov/2013 11:30:29] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 179
[18/Nov/2013 11:30:29] "GET /getjobinfo?jid=20131118112812542533&where=245 HTTP/1.0" 200 28
[18/Nov/2013 11:30:30] "GET /getjobinfo?jid=20131118112812542533&where=245 HTTP/1.0" 200 28
[18/Nov/2013 11:30:31] "GET /getjobinfo?jid=20131118112812542533&where=245 HTTP/1.0" 200 28
[18/Nov/2013 11:30:32] "GET /getjobinfo?jid=20131118112812542533&where=245 HTTP/1.0" 200 28
[18/Nov/2013 11:30:33] "GET /getjobinfo?jid=20131118112812542533&where=245 HTTP/1.0" 200 28
[18/Nov/2013 11:30:34] "GET /getjobinfo?jid=20131118112812542533&where=245 HTTP/1.0" 200 28
[18/Nov/2013 11:30:35] "GET /getjobinfo?jid=20131118112812542533&where=245 HTTP/1.0" 200 28
[18/Nov/2013 11:30:37] "GET /getjobinfo?jid=20131118112812542533&where=245 HTTP/1.0" 200 28
[18/Nov/2013 11:30:38] "GET /getjobinfo?jid=20131118112812542533&where=245 HTTP/1.0" 200 28
[18/Nov/2013 11:30:39] "GET /getjobinfo?jid=20131118112812542533&where=245 HTTP/1.0" 200 779
[18/Nov/2013 11:30:39] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 28
[18/Nov/2013 11:30:40] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 28
[18/Nov/2013 11:30:41] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 28
[18/Nov/2013 11:30:42] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 28
[18/Nov/2013 11:30:43] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 28
[18/Nov/2013 11:30:44] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 28
[18/Nov/2013 11:30:45] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 28
[18/Nov/2013 11:30:46] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 28
[18/Nov/2013 11:30:47] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 28
[18/Nov/2013 11:30:48] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 28
[18/Nov/2013 11:30:49] "GET /getjobinfo?jid=20131118112812542533&where=250 HTTP/1.0" 200 179
[18/Nov/2013 11:30:49] "GET /getjobinfo?jid=20131118112812542533&where=251 HTTP/1.0" 200 28
[18/Nov/2013 11:30:50] "GET /getjobinfo?jid=20131118112812542533&where=251 HTTP/1.0" 200 28
[18/Nov/2013 11:30:51] "GET /getjobinfo?jid=20131118112812542533&where=251 HTTP/1.0" 200 28
[18/Nov/2013 11:30:52] "GET /getjobinfo?jid=20131118112812542533&where=251 HTTP/1.0" 200 28
[18/Nov/2013 11:30:53] "GET /getjobinfo?jid=20131118112812542533&where=251 HTTP/1.0" 200 28
[18/Nov/2013 11:30:54] "GET /getjobinfo?jid=20131118112812542533&where=251 HTTP/1.0" 200 28
[18/Nov/2013 11:30:55] "GET /getjobinfo?jid=20131118112812542533&where=251 HTTP/1.0" 200 28
[18/Nov/2013 11:30:56] "GET /getjobinfo?jid=20131118112812542533&where=251 HTTP/1.0" 200 28
[18/Nov/2013 11:30:57] "GET /getjobinfo?jid=20131118112812542533&where=251 HTTP/1.0" 200 28
[18/Nov/2013 11:30:58] "GET /getjobinfo?jid=20131118112812542533&where=251 HTTP/1.0" 200 779
[18/Nov/2013 11:30:58] "GET /getjobinfo?jid=20131118112812542533&where=256 HTTP/1.0" 200 176
[18/Nov/2013 11:30:58] "GET /getjobinfo?jid=20131118112812542533&where=257 HTTP/1.0" 200 28
[18/Nov/2013 11:30:59] "GET /getjobinfo?jid=20131118112812542533&where=257 HTTP/1.0" 200 777
[18/Nov/2013 11:30:59] "GET /getjobinfo?jid=20131118112812542533&where=262 HTTP/1.0" 200 28
[18/Nov/2013 11:31:00] "GET /getjobinfo?jid=20131118112812542533&where=262 HTTP/1.0" 200 178
[18/Nov/2013 11:31:02] "GET /getjobinfo?jid=20131118112812542533&where=263 HTTP/1.0" 200 178
[18/Nov/2013 11:31:02] "GET /getjobinfo?jid=20131118112812542533&where=264 HTTP/1.0" 200 28
[18/Nov/2013 11:31:03] "GET /getjobinfo?jid=20131118112812542533&where=264 HTTP/1.0" 200 178
[18/Nov/2013 11:31:03] "GET /getjobinfo?jid=20131118112812542533&where=265 HTTP/1.0" 200 28
[18/Nov/2013 11:31:04] "GET /getjobinfo?jid=20131118112812542533&where=265 HTTP/1.0" 200 28
[18/Nov/2013 11:31:05] "GET /getjobinfo?jid=20131118112812542533&where=265 HTTP/1.0" 200 28
[18/Nov/2013 11:31:06] "GET /getjobinfo?jid=20131118112812542533&where=265 HTTP/1.0" 200 28
[18/Nov/2013 11:31:07] "GET /getjobinfo?jid=20131118112812542533&where=265 HTTP/1.0" 200 28
[18/Nov/2013 11:31:08] "GET /getjobinfo?jid=20131118112812542533&where=265 HTTP/1.0" 200 28
[18/Nov/2013 11:31:09] "GET /getjobinfo?jid=20131118112812542533&where=265 HTTP/1.0" 200 28
[18/Nov/2013 11:31:10] "GET /getjobinfo?jid=20131118112812542533&where=265 HTTP/1.0" 200 28
[18/Nov/2013 11:31:11] "GET /getjobinfo?jid=20131118112812542533&where=265 HTTP/1.0" 200 179
[18/Nov/2013 11:31:11] "GET /getjobinfo?jid=20131118112812542533&where=266 HTTP/1.0" 200 28
[18/Nov/2013 11:31:12] "GET /getjobinfo?jid=20131118112812542533&where=266 HTTP/1.0" 200 28
[18/Nov/2013 11:31:13] "GET /getjobinfo?jid=20131118112812542533&where=266 HTTP/1.0" 200 28
[18/Nov/2013 11:31:14] "GET /getjobinfo?jid=20131118112812542533&where=266 HTTP/1.0" 200 178
[18/Nov/2013 11:31:15] "GET /getjobinfo?jid=20131118112812542533&where=267 HTTP/1.0" 200 28
[18/Nov/2013 11:31:16] "GET /getjobinfo?jid=20131118112812542533&where=267 HTTP/1.0" 200 28
[18/Nov/2013 11:31:17] "GET /getjobinfo?jid=20131118112812542533&where=267 HTTP/1.0" 200 28
[18/Nov/2013 11:31:18] "GET /getjobinfo?jid=20131118112812542533&where=267 HTTP/1.0" 200 28
